date,ticker,count,close,sentiment,prop,n_posts,stock_post,count_post,sentiment_post,count_above,stock_above,sentiment_above
2021-05-08,AMC,4,9.51,0.545425,0.032520325203252036,123,0.004,0.04,0,FALSE,FALSE,FALSE
2021-05-09,AMC,1,9.51,0.9866,0.025,40,0.002,0.04,0,FALSE,FALSE,FALSE
2021-05-10,AMC,2,9.74,-0.19740000000000002,0.03333333333333333,60,0.002,0.07,0,FALSE,FALSE,FALSE
2021-05-11,AMC,1,10.05,0.6155,0.007936507936507936,126,0.028,0.102,0,FALSE,FALSE,FALSE
2021-05-12,AMC,4,10.32,0.888475,0.0449438202247191,89,0.972,0.112,0,FALSE,TRUE,FALSE
2021-05-13,AMC,2,12.77,-0.26995,0.019417475728155338,103,0.012,0.376,0,FALSE,FALSE,FALSE
2021-05-14,AMC,12,12.98,0.281575,0.09836065573770492,122,0.002,0.074,0,FALSE,FALSE,FALSE
2021-05-15,AMC,5,12.98,0.22766,0.07142857142857142,70,0.004,0.07,0,FALSE,FALSE,FALSE
2021-05-16,AMC,1,12.98,0.9985,0.045454545454545456,22,0.002,0.034,0,FALSE,FALSE,FALSE
2021-05-17,AMC,1,13.95,0.9924,0.03225806451612903,31,0,0.088,0,FALSE,FALSE,FALSE
2021-05-18,AMC,6,14.03,0.5038166666666667,0.08450704225352113,71,0.008,0.052,0,FALSE,FALSE,FALSE
2021-05-19,AMC,5,12.64,0.42154,0.09615384615384616,52,0.002,0.27,0,FALSE,FALSE,FALSE
2021-05-20,AMC,3,12.55,-0.11510000000000001,0.041666666666666664,72,0.008,0.198,0,FALSE,FALSE,FALSE
2021-05-21,AMC,2,12.08,0,0.02564102564102564,78,0.002,0.08,0,FALSE,FALSE,FALSE
2021-05-22,AMC,2,12.08,0.10955000000000001,0.0273972602739726,73,0.008,0.044,0,FALSE,FALSE,FALSE
2021-05-23,AMC,2,12.08,0.7944,0.0425531914893617,47,0.022,0.054,0,FALSE,FALSE,FALSE
2021-05-24,AMC,1,13.68,0.9606,0.021739130434782608,46,0.938,0.048,0,FALSE,TRUE,FALSE
2021-05-25,AMC,2,16.41,-0.645,0.023255813953488372,86,0.1,0.958,0,TRUE,FALSE,FALSE
2021-05-26,AMC,11,19.559999,0.3260818181818182,0.11578947368421053,95,1,0.054,0,FALSE,TRUE,FALSE
2021-05-27,AMC,15,26.52,0.40856,0.11278195488721804,133,0,0.986,0,TRUE,FALSE,FALSE
2021-05-28,AMC,37,26.120001,0.3420621621621622,0.21893491124260356,169,0.004,0.238,0,FALSE,FALSE,FALSE
2021-05-29,AMC,13,26.120001,0.41694615384615386,0.28888888888888886,45,0.004,0.028,0,FALSE,FALSE,FALSE
2021-05-30,AMC,10,26.120001,0.82691,0.2702702702702703,37,0.004,1,0,TRUE,FALSE,FALSE
2021-05-31,AMC,3,26.120001,0.9764666666666667,0.10714285714285714,28,1,0.038,0,FALSE,TRUE,FALSE
2021-06-01,AMC,5,32.040001,0.62642,0.15151515151515152,33,1,0.12,0,FALSE,TRUE,FALSE
2021-06-10,AMC,20,42.810001,0.72973,0.08733624454148471,229,1,0.044,0,FALSE,TRUE,FALSE
